,geometry
138785,"POLYGON ((-98.298676 28.731731, -98.301514 28.740971, -98.303274 28.743225, -98.305439 28.745836, -98.308146 28.747971, -98.310023 28.745245, -98.309888 28.741566, -98.309211 28.73943, -98.306234 28.735633, -98.301383 28.731494, -98.298676 28.731731))"
138786,"POLYGON ((-98.266486 28.855681, -98.266774 28.855994, -98.266774 28.855995, -98.266727 28.856033, -98.278631 28.869045, -98.278777 28.869029, -98.279315 28.869613, -98.279315 28.869614, -98.268383 28.878459, -98.269751 28.880107, -98.290449 28.865078, -98.290399 28.865026, -98.290405 28.865021, -98.285003 28.858714, -98.275205 28.849352, -98.275096 28.849239, -98.266486 28.855681))"
138787,"POLYGON ((-98.23272 28.798637, -98.235291 28.796858, -98.23519 28.796747, -98.235201 28.796739, -98.232874 28.794209, -98.225547 28.786183, -98.22551 28.786206, -98.224619 28.785237, -98.221053 28.788063, -98.231901 28.799099, -98.232646 28.798566, -98.232647 28.798566, -98.23272 28.798637))"
138788,"POLYGON ((-98.21269 28.783811, -98.20836 28.786658, -98.225547 28.803736, -98.229066 28.801127, -98.21269 28.783811))"
138789,"POLYGON ((-97.86913 28.892207, -97.864438 28.887763, -97.855052 28.89583, -97.860044 28.9002, -97.86913 28.892207))"
138790,"POLYGON ((-97.918924 28.900708, -97.91591 28.89955, -97.915387 28.902108, -97.917694 28.903616, -97.919232 28.90262, -97.918924 28.900708))"
138791,"POLYGON ((-98.070522 28.95465, -98.067849 28.95465, -98.067868 28.954564, -98.065588 28.953733, -98.064133 28.952875, -98.063492 28.952383, -98.063096 28.952263, -98.062675 28.952015, -98.060395 28.951073, -98.053493 28.94542, -98.052784 28.945696, -98.052584 28.945549, -98.05186 28.946054, -98.0502 28.946695, -98.048984 28.947368, -98.048461 28.947848, -98.047289 28.948895, -98.046541 28.949288, -98.044672 28.950313, -98.043725 28.950858, -98.042953 28.952269, -98.04284 28.952348, -98.042876 28.952495, -98.042349 28.955149, -98.043819 28.956819, -98.049128 28.960177, -98.049795 28.961825, -98.049195 28.96307, -98.048504 28.965124, -98.047642 28.966829, -98.045843 28.968435, -98.045056 28.969746, -98.044579 28.972045, -98.048401 28.973914, -98.053048 28.970373, -98.058995 28.964436, -98.060356 28.964436, -98.061366 28.96457, -98.061366 28.964571, -98.064214 28.967652, -98.064954 28.967107, -98.064995 28.96714, -98.069682 28.963578, -98.067709 28.960233, -98.070652 28.956351, -98.070522 28.95465))"
138792,"POLYGON ((-97.787684 29.006507, -97.786218 29.00656, -97.774245 29.00656, -97.774282 29.009148, -97.774281 29.009148, -97.756873 29.009468, -97.756323 29.01059, -97.753025 29.01246, -97.753002 29.028983, -97.774198 29.028822, -97.775053 29.027113, -97.776336 29.026312, -97.77658 29.024229, -97.776581 29.024229, -97.778352 29.023909, -97.778169 29.014347, -97.781101 29.014401, -97.78104 29.019315, -97.788167 29.019249, -97.788073 29.006775, -97.788307 29.001099, -97.797701 28.99096, -97.797823 28.990479, -97.774306 28.9908, -97.774367 28.997371, -97.787622 28.997852, -97.787623 28.997852, -97.787684 29.006507))"
138793,"POLYGON ((-97.787806 29.047985, -97.787769 29.033966, -97.780288 29.033998, -97.780399 29.04805, -97.787806 29.047985))"
138794,"POLYGON ((-97.881242 29.078777, -97.877279 29.072012, -97.871206 29.073469, -97.864322 29.064515, -97.860174 29.06636, -97.859322 29.068011, -97.858656 29.071733, -97.867614 29.085735, -97.881242 29.078777))"
